PhraseId,Sentiment
49466,2
64848,2
47201,3
11322,3
118344,3
118744,3
104308,2
128977,2
108546,2
108475,2
6661,2
137634,2
65518,2
83974,3
32313,2
35074,2
5853,2
33505,2
50456,2
115478,2
14950,2
71847,1
24134,2
12616,2
97782,2
25931,2
88113,2
50199,3
31116,1
83837,2
112467,3
64977,2
64922,2
62827,3
17972,2
140051,2
72026,2
116564,2
78593,2
13625,2
83306,2
60987,2
92823,1
147934,2
125818,2
87718,2
43627,3
119113,2
48123,2
115516,3
59749,2
18025,2
85244,2
24258,2
25502,2
69339,2
116132,3
144617,2
139399,2
13275,2
29314,2
141105,2
96946,3
44971,2
100316,2
753,2
73907,3
151409,2
92235,2
119618,2
120390,2
108772,2
133436,2
143379,2
121352,3
66238,2
100753,2
14741,2
130123,1
94654,2
44586,2
21112,2
60397,2
145226,2
136828,2
152320,2
102092,2
113102,3
70016,2
140812,2
142009,2
90818,2
84850,1
110798,3
36842,2
93758,2
20966,3
134938,2
3078,2
46817,4
64670,2
119322,2
79574,2
47415,2
46303,2
94289,2
26092,1
104432,2
128148,1
144314,1
74319,2
70415,2
61009,1
17824,2
5347,2
36468,2
135718,2
58666,2
113082,3
15832,3
97604,3
120035,2
134239,4
129096,2
74925,2
100985,2
26392,2
93822,2
117004,2
21274,2
151577,1
26956,3
40464,2
138648,2
71311,2
39446,2
73714,2
65788,2
78474,2
140073,3
133871,2
58731,2
2622,2
23026,2
152964,1
153154,2
1091,2
140372,2
15210,2
101515,2
2889,2
152814,1
67836,2
146661,2
154385,1
1973,1
113037,1
116240,2
62505,2
116822,2
106843,2
149949,3
129422,2
110975,2
49221,3
100881,2
73730,2
76102,2
91577,2
52208,1
38031,2
116188,2
126062,1
112411,3
56845,2
2228,1
113705,3
142989,2
80144,2
90261,3
17439,2
112907,2
37087,2
146723,2
138923,3
148463,2
133804,1
60094,2
138619,1
148564,2
89159,2
85955,3
153035,3
14532,2
10514,2
395,2
68729,2
81557,2
80951,2
115511,1
126213,3
22649,1
89227,2
85589,2
30669,2
81981,2
41039,2
59107,2
107535,2
16599,2
59760,2
23298,3
15538,2
12978,2
1923,2
57381,2
134048,2
122155,2
52275,2
17995,3
146533,2
146243,1
82141,2
62664,3
23137,2
44692,2
8741,2
92737,2
15531,2
99142,2
108734,0
70829,2
142574,2
94495,2
129385,2
114991,2
76379,2
103970,2
118139,2
85246,2
125798,2
55057,2
73946,2
35751,2
7533,2
28876,2
120188,2
131389,3
111,2
24801,2
42039,2
47143,2
36631,2
96118,2
97645,2
99594,2
40490,2
7216,2
60964,2
94929,2
128700,2
111156,2
149285,2
100576,2
104547,1
26913,1
144480,2
155971,1
54806,1
52537,2
51566,2
43862,4
141738,3
120525,2
111434,2
102398,2
23827,2
12476,2
46943,2
44822,2
80128,2
155568,2
66927,3
89581,2
150396,1
67895,3
14222,2
121235,3
71887,2
32199,1
132792,3
67199,2
60622,2
95494,2
87734,2
114948,3
109920,2
21189,3
144407,2
89139,2
15743,3
73769,1
79956,2
22814,2
145807,2
99539,3
43105,2
129028,3
2074,3
97852,3
34617,2
23306,2
58992,2
107995,2
97326,2
153749,2
26872,3
39282,3
133578,2
106790,2
156039,2
143199,3
99316,2
89232,3
1650,2
138408,3
87791,3
90012,2
118887,2
9398,2
35833,3
120140,2
118540,1
6466,2
18844,2
126364,2
30827,2
75646,1
24691,3
89523,2
112758,2
139465,4
148600,2
48200,2
11977,3
110255,1
33032,1
3557,2
48174,2
136121,2
4155,2
152697,2
118111,3
5882,2
147924,3
154638,1
152979,2
155095,3
63774,2
103912,2
154656,2
95036,2
20585,2
138723,4
1802,3
130840,2
10419,2
87727,2
54165,2
95687,2
86354,3
18186,2
69816,2
78136,2
71859,2
27921,2
35729,3
144842,3
3762,2
113738,2
33804,2
126124,2
13042,2
69830,2
65119,1
134020,3
80324,2
41442,2
111213,2
35611,2
87488,3
154343,2
134521,3
144827,2
101035,2
114193,2
19484,1
677,3
107132,3
27390,2
39931,3
128289,2
13722,2
111088,2
16254,2
133065,2
69541,2
15563,2
34039,2
117197,2
127610,3
64626,2
74696,2
60958,2
79939,2
144436,2
30862,3
105001,2
95862,2
107673,2
103660,3
127171,2
131954,2
48739,2
17461,1
41484,2
116993,3
71379,2
88940,2
4819,3
127430,2
36365,2
50161,2
82530,2
148865,2
102285,2
131254,2
151378,2
44749,2
100518,2
100029,3
69675,2
154813,2
136638,2
22984,2
120659,2
71376,2
39993,2
55107,1
146822,3
116031,2
94731,1
120001,2
57112,2
96036,2
5242,3
120029,2
66228,2
106715,2
95963,3
134530,2
60712,4
126029,2
144261,2
11072,2
17090,2
152050,2
88995,2
154682,2
50573,3
103085,2
28050,3
134000,2
147835,2
7787,2
5182,2
97265,2
14060,2
23274,2
90839,2
15938,2
77538,2
121330,2
152913,3
66482,2
26550,2
129731,3
62858,3
65695,2
98115,2
4904,2
11061,3
33238,2
131474,2
17900,2
127400,2
129543,2
102612,2
25768,3
41320,0
149796,2
39504,2
152231,2
8789,2
141686,2
109178,2
66912,2
30693,2
147498,2
76735,2
135955,2
146132,3
6579,2
1172,2
39038,2
127272,2
123497,2
142036,2
133453,2
114104,1
71002,2
107430,2
21836,3
60465,1
47216,2
68015,2
78982,2
139642,2
107622,2
144556,2
39892,1
79474,2
81947,2
115063,2
12593,1
141514,3
129152,2
111597,3
95588,2
115216,1
135479,2
129875,3
87889,2
48764,2
148000,1
106132,2
44278,2
67109,2
30811,2
47397,2
119973,3
95913,2
19728,2
95384,2
58768,1
150890,3
118653,3
131886,2
33990,2
110150,2
121049,2
152160,2
118765,2
118806,3
118946,4
20285,2
66479,2
72977,3
86721,3
53553,1
134150,2
63303,2
138633,2
146280,2
117321,2
96265,2
38348,1
72294,2
29529,2
115757,3
87444,2
99366,2
16923,2
93437,2
29420,2
82011,1
54480,2
17724,2
148866,1
42020,2
62301,2
88454,2
36221,2
44887,3
45036,3
88090,2
108023,3
86946,2
118965,2
80308,2
16275,2
44130,2
23374,1
46289,2
39747,3
144153,3
27270,2
4919,2
128043,2
127902,2
145267,2
49683,2
20095,2
85074,2
67815,3
131740,2
36279,2
5492,2
52125,1
79812,2
9688,2
48669,2
145073,3
102166,2
115962,2
93904,3
13146,3
65819,2
101787,2
13671,2
17920,2
140620,2
34339,2
108113,2
127850,3
66867,2
43030,3
50348,1
92703,2
98669,2
144100,2
85253,2
147159,2
2114,2
31401,2
104130,2
40723,2
54488,1
81072,3
136535,2
52568,2
116765,1
143827,2
113541,2
102415,2
107729,2
147208,2
59145,2
151471,2
143381,2
85009,3
36165,3
30229,2
6242,3
66947,3
62542,2
44556,2
131487,2
133030,2
155873,2
145079,3
73243,2
134723,2
110484,2
42886,2
25720,3
47785,2
51683,2
109683,2
78672,2
138679,2
83121,3
118216,2
93422,2
130711,2
43649,3
60460,2
56429,3
1955,2
96389,2
118915,2
69647,1
19382,3
119176,3
85907,3
68322,2
12648,2
142937,2
103495,2
101889,2
95059,2
63549,2
131103,3
152175,3
27478,3
140225,2
51035,1
86845,2
84217,2
120351,2
113336,2
85647,2
58241,2
122956,1
127702,2
64426,2
99362,2
37391,1
141994,3
107520,2
53838,3
15544,2
55538,2
104973,3
23948,1
98548,2
146960,3
140305,1
147514,2
67180,2
7106,2
25017,1
141231,2
122697,2
148859,1
133854,2
34444,2
71051,3
118630,3
134983,1
100560,2
52589,2
112405,1
125555,2
98891,2
129248,2
151083,2
109517,2
70535,2
109084,2
123444,2
77591,3
62402,3
25739,2
86280,2
128640,1
63031,2
44299,2
120799,2
80519,3
144893,1
137414,2
139042,2
35101,3
60853,2
35804,2
104017,2
73008,2
39364,2
117825,2
48702,2
77977,2
132508,2
79034,3
111226,2
102236,1
8552,2
71288,2
50980,2
87672,2
132994,2
24829,3
24404,2
155393,3
100346,3
69787,2
142764,2
92130,2
98508,3
70896,2
25254,2
153269,3
25670,2
126354,3
66751,2
26482,2
37411,2
144175,2
74325,1
127073,2
133106,2
105603,2
52139,3
12766,3
31600,2
21291,2
34954,3
151554,2
56584,2
13766,2
30564,2
91204,2
66028,2
43215,2
60603,4
121383,2
106542,2
70813,2
11845,2
101760,1
19285,2
114401,2
57191,1
146004,1
19549,2
8416,2
5673,2
120883,2
67023,2
12275,2
2123,2
59590,2
39426,2
138883,2
126832,2
14005,2
115710,2
92980,2
45682,2
95554,2
85112,3
142176,1
49764,2
70166,1
142762,2
40351,2
132878,2
120679,2
135276,2
136540,2
47086,2
5706,2
119184,2
10881,2
46479,2
115869,4
61733,1
30948,2
47750,2
148306,2
142556,2
132556,2
132492,3
145773,2
75815,2
88396,2
30609,1
1243,2
139992,2
92027,2
54109,3
92188,2
108891,1
53582,1
42611,2
152112,3
46486,1
63055,2
12656,2
4493,2
95408,2
96704,2
146380,1
46545,1
72768,2
141580,2
155738,1
46998,2
6987,2
135425,2
38028,2
126788,2
95883,3
148960,2
81586,2
138713,2
36571,3
65396,2
82404,1
21935,2
128797,2
71546,2
32016,3
112833,1
52482,1
88883,2
38134,4
2738,2
126330,1
123388,1
9772,2
94352,2
135673,3
67448,2
144080,1
14785,2
7766,2
128866,2
51183,2
95080,2
132244,3
123162,3
97063,2
85145,2
93468,2
72948,2
75867,2
67957,2
105327,3
111533,2
34438,1
88644,2
97785,2
75558,2
25350,2
109273,3
24389,2
99562,2
98097,2
82646,2
93026,2
83580,1
151285,2
94283,2
1642,2
143845,3
57760,2
58770,3
37883,2
3077,2
95669,2
43447,3
78401,2
64734,2
101570,2
151688,2
111958,2
123950,3
11090,2
24427,2
115094,1
103149,3
17426,3
132749,2
31711,2
139976,2
18473,2
7525,2
41999,2
138587,2
76776,2
103460,2
54954,2
134271,2
89656,1
49799,2
145289,2
150588,1
148240,2
18103,3
76083,2
154774,2
19656,2
102719,2
124023,2
65633,2
106319,3
4281,2
56166,2
117177,2
149569,2
150104,2
19008,3
22182,2
141969,1
105878,2
96861,3
148091,3
133084,2
59182,3
38682,2
73120,2
98212,2
65601,2
123056,2
128353,2
28047,2
143816,1
122930,1
121849,3
139049,3
138693,2
42801,3
132170,1
93356,1
69447,2
144857,3
60282,2
21786,2
107457,2
32887,2
124208,2
16043,2
77714,3
139847,3
16541,2
121665,1
137778,2
106936,1
146520,1
112722,4
27830,2
74819,2
42094,2
52697,2
9000,1
130308,3
120547,2
68728,2
71952,3
105836,2
12517,2
21315,2
111847,2
100623,2
68544,4
18461,3
102130,2
10654,2
85570,2
123898,2
155136,3
147005,2
127000,3
11382,3
33818,2
78461,2
121754,3
88818,2
97734,2
94024,3
110408,2
64594,2
103945,4
37637,1
111698,3
117549,1
43452,2
12970,2
73766,2
136722,2
85247,2
10853,2
98566,2
50849,2
12079,1
97603,1
2812,1
57641,3
125694,2
125049,2
126120,2
111723,2
96182,2
11336,2
88073,2
48977,2
12359,2
109155,2
123227,2
65381,1
114277,2
22217,2
35112,2
15154,2
104851,2
112264,2
140186,1
12475,2
3484,2
121645,2
148892,3
133266,2
48213,2
137026,2
142917,3
39932,3
63072,1
110706,2
66465,2
107324,2
108816,2
71082,2
152257,3
8092,2
147893,2
133127,4
34015,1
49934,2
91394,2
126018,2
27412,2
102356,2
37177,3
153045,2
138638,2
7328,2
23769,2
70646,3
13775,2
46449,2
115412,3
96168,1
131570,2
40030,2
126964,2
78542,2
34080,3
31334,2
104936,2
50844,2
155383,2
78811,2
10222,2
101900,2
53471,3
105270,2
143086,2
141633,1
139750,2
17003,2
88985,2
46969,3
102008,2
74756,2
150149,2
59644,2
143583,2
93907,2
100812,1
108674,3
88080,1
77547,2
136224,2
113238,3
78917,2
140377,2
43009,2
97077,2
24524,2
78612,2
131036,1
49244,2
68135,2
103100,2
129053,1
111266,3
149537,2
24583,2
97216,3
29042,2
93765,4
125219,1
33296,1
132470,2
305,3
116931,2
